Rank,Country,Capital city,2008 Population,2002_population,Population_growth_2002_2008,Land_area_sq_km,Population_density_pop_per_sq_km
205,Antigua & Barbuda,Saint John's,69800,67448,0.0349,443,157.6
206,Bermuda,Hamilton,66500,63960,0.0397,53,1254.7
207,Guernsey,Saint Peter Port,65700,64587,0.0172,78,842.3
208,Marshall Islands,Majuro,63200,73630,-0.1417,181,349.2
209,American Samoa,Pago Pago,57500,68688,-0.1629,199,288.9
210,Greenland,Nuuk,56300,56376,-0.0013,2166086,0
211,Faroe Islands,Torshavn,48700,46011,0.0584,1399,34.8
212,Cayman Islands,George Town,47900,36273,0.3205,262,182.8
213,Saint Kitts & Nevis,Basseterre,39600,38736,0.0223,261,151.7
214,Liechtenstein,Vaduz,34500,32842,0.0505,160,215.6
215,Monaco,Monaco,32800,31987,0.0254,2,16400
216,San Marino,San Marino,30000,27730,0.0819,61,491.8
217,Saint Martin,Marigot,29400,29078,0.0111,54.4,540.4
218,Gibraltar,Gibraltar,28000,27714,0.0103,7,4000
219,British Virgin Islands,Road Town,24000,21272,0.1282,153,156.9
220,Turks & Caicos Islands,Cockburn Town,22400,18738,0.1954,430,52.1
221,Cook Islands,Avarua,21900,20811,0.0523,240,91.3
222,Palau,Koror,21100,19409,0.0871,458,46.1
223,Wallis and Futuna,Mata-Utu,16400,15585,0.0523,274,59.9
224,Anguilla,The Valley,14100,12446,0.1329,102,138.2
225,Nauru,no official capital,13800,12329,0.1193,21,657.1
226,Tuvalu,Fongafale,12200,11146,0.0946,26,469.2
227,Montserrat,Plymouth ¹,9640,8437,0.1426,102,94.5
228,Saint Helena,Jamestown,7600,7317,0.0387,410,18.5
229,Saint Barthelemy,Gustavia,7490,7998,-0.0635,21,356.7
230,Saint Pierre & Miquelon,Kingstown,7040,116394,-0.9395,389,18.1
231,Falkland Islands (Islas Malvinas),Stanley,3140,2967,0.0583,12173,0.3
232,Svalbard,Longyearbyen,2170,2868,-0.2434,62049,0
233,Norfolk Island,Kingston,2130,1866,0.1415,10991,0.2
234,Niue,Alofi,1440,2134,-0.3252,260,5.5
235,Tokelau,none,1430,1431,-0.0007,266000,0
236,Christmas Island,The Settlement,1400,474,1.9536,135,10.4
237,Vatican City,Vatican City,820,900,-0.0889,0,n/a
238,Cocos Islands,West Island,600,632,-0.0506,14,42.9
239,Pitcairn,Adamstown,48,47,0.0213,47,1
,WORLD,,6679676248,6234294638,0.0714,510072000,13.1
